TIMESERIESID,STATION,SOURCE_TIMESERIES,PARAMETER,TIMESTAMP,VALUE,CODE,REVISION_DATE,QUALITY_CODE
12515,L005,L005+R,RAIN,2/13/2025,0.25,NA,2/17/2025 13:19,A
12515,L005,L005+R,RAIN,2/14/2025,0.07,NA,2/17/2025 13:19,A
12515,L005,L005+R,RAIN,2/15/2025,0,NA,2/17/2025 13:19,A
12515,L005,L005+R,RAIN,2/16/2025,0,NA,2/17/2025 13:19,A
12515,L005,L005+R,RAIN,2/17/2025,0,NA,2/27/2025 9:26,A
12515,L005,L005+R,RAIN,2/18/2025,0,NA,2/27/2025 9:26,A
12515,L005,L005+R,RAIN,2/19/2025,0,NA,2/27/2025 9:26,A
12515,L005,L005+R,RAIN,2/20/2025,0,NA,2/27/2025 9:26,A
12515,L005,L005+R,RAIN,2/21/2025,0,NA,2/27/2025 9:26,A
12515,L005,L005+R,RAIN,2/22/2025,0,NA,2/27/2025 9:26,A
12515,L005,L005+R,RAIN,2/23/2025,0,NA,2/27/2025 9:26,A
12515,L005,L005+R,RAIN,2/24/2025,0.75,NA,2/27/2025 9:26,A
12515,L005,L005+R,RAIN,2/25/2025,0.51,NA,2/27/2025 9:26,A
12515,L005,L005+R,RAIN,2/26/2025,0,NA,2/27/2025 9:26,A
12515,L005,L005+R,RAIN,2/27/2025,0,NA,3/10/2025 12:58,A
12515,L005,L005+R,RAIN,2/28/2025,0,NA,3/10/2025 12:58,A
12515,L005,L005+R,RAIN,3/1/2025,0,NA,3/10/2025 12:58,A
12515,L005,L005+R,RAIN,3/2/2025,0,NA,3/10/2025 12:58,A
12515,L005,L005+R,RAIN,3/3/2025,0,NA,3/10/2025 12:58,A
12515,L005,L005+R,RAIN,3/4/2025,0,NA,3/10/2025 12:58,A
12515,L005,L005+R,RAIN,3/5/2025,0,NA,3/10/2025 12:58,A
12515,L005,L005+R,RAIN,3/6/2025,0,NA,3/10/2025 12:58,A
12515,L005,L005+R,RAIN,3/7/2025,0,NA,3/10/2025 12:58,A
12515,L005,L005+R,RAIN,3/8/2025,0,NA,3/10/2025 12:58,A
12515,L005,L005+R,RAIN,3/9/2025,0,NA,3/10/2025 12:58,A
12515,L005,L005+R,RAIN,3/10/2025,0.12,NA,3/20/2025 7:02,A
12515,L005,L005+R,RAIN,3/11/2025,0,NA,3/20/2025 7:02,A
