Report Year,Colony Name,Colony Type,Species,Number
2023,Lakeport Marina,Off-Lake Island,Anhinga,8
2023,Lakeport Marina,Off-Lake Island,Tricolored Heron,13
2023,Lakeport Marina,Off-Lake Island,Snowy Egret,78
2023,Lakeport Marina,Off-Lake Island,Great Egret,134
2023,Lakeport Marina,Off-Lake Island,Cattle Egret,410
2023,Little Bear Beach,Spoil Island,Great Blue Heron,1
2023,Little Bear Beach,Spoil Island,Cattle Egret,13
2023,Little Bear Beach,Spoil Island,Little Blue Heron,18
2023,Little Bear Beach,Spoil Island,Glossy Ibis,41
2023,Little Bear Beach,Spoil Island,Tricolored Heron,64
2023,Little Bear Beach,Spoil Island,Great Egret,99
2023,Little Bear Beach,Spoil Island,Snowy Egret,157
2023,Little Bear Beach,Spoil Island,White Ibis,178
2023,Moonshine Bay 1,Marsh Island,Great Egret,2
2023,Moonshine Bay 1,Marsh Island,Great Blue Heron,5
2023,Moonshine Bay 3,Marsh Island,Great Blue Heron,2
2023,Moonshine Bay 3,Marsh Island,Great Egret,2
2023,Moore Haven East 5,Marsh Island,Great Blue Heron,2
2023,Moore Haven East 5,Marsh Island,Anhinga,5
2023,Moore Haven East 5,Marsh Island,Snowy Egret,12
2023,Moore Haven East 5,Marsh Island,Great Egret,109
2023,Moore Haven NW,Marsh Island,Glossy Ibis,2
2023,Moore Haven NW,Marsh Island,Roseate Spoonbill,2
2023,Moore Haven NW,Marsh Island,White Ibis,2
2023,Moore Haven NW,Marsh Island,Great Blue Heron,7
2023,Moore Haven NW,Marsh Island,Anhinga,8
2023,Moore Haven NW,Marsh Island,Cattle Egret,24
2023,Moore Haven NW,Marsh Island,Little Blue Heron,25
2023,Moore Haven NW,Marsh Island,Tricolored Heron,99
2023,Moore Haven NW,Marsh Island,Snowy Egret,111
2023,Moore Haven NW,Marsh Island,Great Egret,130
2023,Moore Haven West 1,Marsh Island,Snowy Egret,18
2023,Moore Haven West 1,Marsh Island,Great Egret,22
2023,Pahokee Airport,Spoil Island,Anhinga,2
2023,Pahokee Airport,Spoil Island,Glossy Ibis,12
2023,Pahokee Airport,Spoil Island,Great Egret,18
2023,Pahokee Airport,Spoil Island,Little Blue Heron,58
2023,Pahokee Airport,Spoil Island,White Ibis,74
2023,Pahokee Airport,Spoil Island,Cattle Egret,111
2023,Pahokee Airport,Spoil Island,Tricolored Heron,116
2023,Pahokee Airport,Spoil Island,Snowy Egret,136
2022,Chance Bay,Marsh Island,Cattle Egret,403
2022,Clewiston Spit,Spoil Island,Glossy Ibis,2
2022,Clewiston Spit,Spoil Island,Great Blue Heron,2
2022,Clewiston Spit,Spoil Island,Roseate Spoonbill,17
2022,Clewiston Spit,Spoil Island,Tricolored Heron,47
2022,Clewiston Spit,Spoil Island,Great Egret,138
2022,Clewiston Spit,Spoil Island,Snowy Egret,194
2022,Eagle Bay Island NE,Marsh Island,Great Blue Heron,1
2022,Eagle Bay Island NE,Marsh Island,Little Blue Heron,2
2022,Eagle Bay Island NE,Marsh Island,Tricolored Heron,2
2022,Eagle Bay Island NE,Marsh Island,Glossy Ibis,3
2022,Eagle Bay Island NE,Marsh Island,Great Egret,5
2022,Eagle Bay Island NE,Marsh Island,Snowy Egret,66
2022,Eagle Bay Island NE,Marsh Island,White Ibis,101
2022,Eagle Bay Island NE,Marsh Island,Cattle Egret,127
2022,Eagle Bay Island S,Marsh Island,Anhinga,1
2022,Eagle Bay Island S,Marsh Island,Glossy Ibis,1
2022,Eagle Bay Island S,Marsh Island,Great Blue Heron,1
2022,Eagle Bay Island S,Marsh Island,Little Blue Heron,5
2022,Eagle Bay Island S,Marsh Island,Snowy Egret,21
2022,Eagle Bay Island S,Marsh Island,Cattle Egret,240
2022,Gator Farm,Off-Lake Island,Anhinga,1
2022,Gator Farm,Off-Lake Island,Glossy Ibis,1
2022,Gator Farm,Off-Lake Island,Tricolored Heron,1
2022,Gator Farm,Off-Lake Island,White Ibis,1
2022,Gator Farm,Off-Lake Island,Great Blue Heron,2
2022,Gator Farm,Off-Lake Island,Snowy Egret,2
2022,Gator Farm,Off-Lake Island,Little Blue Heron,10
2022,Gator Farm,Off-Lake Island,Roseate Spoonbill,16
2022,Gator Farm,Off-Lake Island,Wood Stork,40
2022,Gator Farm,Off-Lake Island,Great Egret,49
2022,Gator Farm,Off-Lake Island,Cattle Egret,138
2022,Gun Range,Off-Lake Island,Great Blue Heron,1
2022,Gun Range,Off-Lake Island,Anhinga,8
2022,Gun Range,Off-Lake Island,Great Egret,32
2022,Gun Range,Off-Lake Island,Cattle Egret,70
2022,Lakeport Marina,Off-Lake Island,Tricolored Heron,2
2022,Lakeport Marina,Off-Lake Island,Snowy Egret,8
2022,Lakeport Marina,Off-Lake Island,Great Egret,107
2022,Lakeport Marina,Off-Lake Island,Cattle Egret,442
2022,Little Bear Beach,Spoil Island,Glossy Ibis,1
2022,Little Bear Beach,Spoil Island,Little Blue Heron,1
2022,Little Bear Beach,Spoil Island,Great Egret,51
2022,Little Bear Beach,Spoil Island,Tricolored Heron,68.5
2022,Little Bear Beach,Spoil Island,Snowy Egret,180
2022,Little Bear Beach,Spoil Island,White Ibis,344
2022,Moore Haven East 1,Marsh Island,Great Blue Heron,2
2022,Moore Haven East 1,Marsh Island,Anhinga,6
