Database ID,Date,Observers,Survey Type,Start Time,End Time,Survey Notes,Method,Sky Code,Counts by,Waypoint Number,Latitude,Longitude,Colony Name,Photo Numbers,Colony Notes,Species Code,Nest Count,Adult Count,Fledling Count
4,2/20/2025,"B. Mason, A. Fussell, J. Mulling",Targeted Ground,10:03,13:20,,Ground Count,4,"B. Mason, A. Fussell, J. Mulling",36,26.556826,81.020536,Moonshine Bay 1,,No nests verified,GBHE,0,1,
4,2/20/2025,"B. Mason, A. Fussell, J. Mulling",Targeted Ground,10:03,13:20,,Ground Count,4,"B. Mason, A. Fussell, J. Mulling",36,26.556826,81.020536,Moonshine Bay 1,,No nests verified,ANHI,0,9,
5,3/13/2025,"B. Mason, A. Fussell",Targeted Ground,9:05,12:12,,Ground Count,0,"B. Mason, A. Fussell",Clewiston Spit,26.465948,80.545484,Clewiston Spit,1977-2041,"TRHE gathering nesting materials, but no nests confirmed. SNEG present but not nesting (N=2), LBHE present, WHIB pair. ",GREG,40,,
5,3/13/2025,"B. Mason, A. Fussell",Targeted Ground,9:05,12:12,,Ground Count,0,"B. Mason, A. Fussell",Clewiston Spit,26.465948,80.545484,Clewiston Spit,1977-2041,"TRHE gathering nesting materials, but no nests confirmed. SNEG present but not nesting (N=2), LBHE present, WHIB pair. ",ROSP,3,,
5,3/13/2025,"B. Mason, A. Fussell",Targeted Ground,9:05,12:12,,Ground Count,0,"B. Mason, A. Fussell",Clewiston Spit,26.465948,80.545484,Clewiston Spit,1977-2041,"TRHE gathering nesting materials, but no nests confirmed. SNEG present but not nesting (N=2), LBHE present, WHIB pair. ",GBHE,1,,
5,3/13/2025,"B. Mason, A. Fussell",Targeted Ground,9:05,12:12,,Ground Count,0,"B. Mason, A. Fussell",Clewiston Spit 2,26.463477,80.544514,Clewiston Spit 2,,"This is a new colony, but we named it Clewiston Spit 2. Many WHIB but no clear nesting. ",GREG,11,,
5,3/13/2025,"B. Mason, A. Fussell",Targeted Ground,9:05,12:12,,Ground Count,0,"B. Mason, A. Fussell",Little Bear Beach,26.435359,80.506134,Little Bear Beach,,"WHIB present, no nests visible. TRHE present, no nest visible. 1 GREG adult, no nest visible. 2 SNEG, no nest visible. ",GREG,,1,
5,3/13/2025,"B. Mason, A. Fussell",Targeted Ground,9:05,12:12,,Ground Count,0,"B. Mason, A. Fussell",Little Bear Beach,26.435359,80.506134,Little Bear Beach,,"WHIB present, no nests visible. TRHE present, no nest visible. 1 GREG adult, no nest visible. 2 SNEG, no nest visible. ",SNEG,,2,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Aerial Count,0,A. Fussell,2,26.437937,80.508328,Little Bear Beach,2084-2094,,GREG,20,40,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Aerial Count,0,A. Fussell,3,26.46975,80.421515,Pahokee,2095-2104,,GREG,20,35,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Aerial Count,0,A. Fussell,4,26.464042,80.541347,Clewiston Spit,2105-2121,,GREG,30,60,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Aerial Count,0,A. Fussell,5,26.46363,80.545906,Clewiston Spit 2,2122-2133,,GREG,10,30,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Aerial Count,0,A. Fussell,6,26.532156,81.075927,Gun Range,2134-2145,,GREG,5,15,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Aerial Count,0,A. Fussell,7,26.532606,80.585992,Moore Haven East 5,2146-2159,,GREG,10,70,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Aerial Count,0,A. Fussell,8,26.578665,81.024264,Rock Islands,2160-2186,colony includes multiple adjacent circle islands ,GREG,10,55,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Aerial Count,0,A. Fussell,8,26.578665,81.024264,Rock Islands,2160-2186,colony includes multiple adjacent circle islands ,ROSP,,1,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Aerial Count,0,A. Fussell,9,26.58111,81.068167,Lakeport Marina,2187-2191,,GREG,10,55,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Aerial Count,0,A. Fussell,10,27.016327,81.036809,Gator Farm,2192-2202,,GREG,10,40,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Aerial Count,0,A. Fussell,11,27.101287,80.51206,Eagle Bay Island,2203-2216,,GREG,5,30,
